PLAYER_ID,PLAYER_NAME,SEASON,GAME_DATE,MIN,PTS,REB,AST,rolling_min_7,rolling_min_28,acwr,rolling_pts_7,rolling_reb_7,rolling_ast_7,days_rest,back_to_back,no_rest_2d,games_played_30,fatigue_score,game_num_in_season,pts_per_min,is_away,injured
2544,LeBron James,2018-19,2018-10-18,37,26,12,6,37.0,37.0,1.0,26.0,12.0,6.0,3.0,0.0,0.0,0.0,0.5,1,0.7027027027027027,1,0
2544,LeBron James,2018-19,2018-10-20,39,24,5,5,38.0,38.0,1.0,25.0,8.5,5.5,2.0,0.0,1.0,1.0,0.72,2,0.6153846153846154,0,0
2544,LeBron James,2018-19,2018-10-22,43,32,8,14,39.666666666666664,39.666666666666664,1.0,27.333333333333332,8.333333333333334,8.333333333333334,2.0,0.0,1.0,2.0,0.74,3,0.7441860465116279,0,0
2544,LeBron James,2018-19,2018-10-24,28,19,7,10,36.75,36.75,1.0,25.25,8.0,8.75,2.0,0.0,1.0,3.0,0.76,4,0.6785714285714286,1,0
2544,LeBron James,2018-19,2018-10-25,35,28,11,11,36.4,36.4,1.0,25.8,8.6,9.2,1.0,1.0,1.0,4.0,0.78,5,0.8,0,0
2544,LeBron James,2018-19,2018-10-27,34,35,11,4,36.0,36.0,1.0,27.333333333333332,9.0,8.333333333333334,2.0,0.0,1.0,5.0,0.8,6,1.0294117647058822,1,0
2544,LeBron James,2018-19,2018-10-29,36,29,10,8,36.0,36.0,1.0,27.571428571428573,9.142857142857142,8.285714285714286,2.0,0.0,1.0,6.0,0.8200000000000001,7,0.8055555555555556,1,0
2544,LeBron James,2018-19,2018-10-31,39,29,5,6,36.285714285714285,36.375,0.997545409916544,28.0,8.142857142857142,8.285714285714286,2.0,0.0,1.0,7.0,0.838772704958272,8,0.7435897435897436,0,0
2544,LeBron James,2018-19,2018-11-03,31,28,5,7,35.142857142857146,35.77777777777778,0.9822537710736469,28.571428571428573,8.142857142857142,8.571428571428571,3.0,0.0,0.0,8.0,0.6511268855368234,9,0.9032258064516129,1,0
2544,LeBron James,2018-19,2018-11-04,28,18,2,6,33.0,35.0,0.9428571428571428,26.571428571428573,7.285714285714286,7.428571428571429,1.0,1.0,1.0,9.0,0.8514285714285714,10,0.6428571428571429,0,0
2544,LeBron James,2018-19,2018-11-07,39,24,11,9,34.57142857142857,35.36363636363637,0.9775982372383399,27.285714285714285,7.857142857142857,7.285714285714286,3.0,0.0,0.0,10.0,0.68879911861917,11,0.6153846153846154,0,0
2544,LeBron James,2018-19,2018-11-10,31,25,7,2,34.0,35.0,0.9714285714285714,26.857142857142858,7.285714285714286,6.0,3.0,0.0,0.0,11.0,0.7057142857142857,12,0.8064516129032258,1,0
2544,LeBron James,2018-19,2018-11-11,34,26,7,4,34.0,34.92307692307692,0.9735682819383261,25.571428571428573,6.714285714285714,6.0,1.0,1.0,1.0,12.0,0.9267841409691631,13,0.7647058823529411,0,0
2544,LeBron James,2018-19,2018-11-14,36,44,10,9,34.0,35.0,0.9714285714285714,27.714285714285715,6.714285714285714,6.142857142857143,3.0,0.0,0.0,13.0,0.7457142857142858,14,1.2222222222222223,0,0
2544,LeBron James,2018-19,2018-11-17,26,22,4,7,32.142857142857146,34.4,0.9343853820598008,26.714285714285715,6.571428571428571,6.285714285714286,3.0,0.0,0.0,14.0,0.7471926910299004,15,0.8461538461538461,1,0
2544,LeBron James,2018-19,2018-11-18,38,51,8,3,33.142857142857146,34.625,0.9571944301186179,30.0,7.0,5.714285714285714,1.0,1.0,1.0,14.0,0.958597215059309,16,1.3421052631578947,1,0
2544,LeBron James,2018-19,2018-11-21,36,32,14,7,34.285714285714285,34.705882352941174,0.9878934624697338,32.0,8.714285714285714,5.857142857142857,3.0,0.0,0.0,14.0,0.7739467312348669,17,0.8888888888888888,1,0
2544,LeBron James,2018-19,2018-11-23,35,22,10,7,33.714285714285715,34.72222222222222,0.9709714285714286,31.714285714285715,8.571428571428571,5.571428571428571,2.0,0.0,1.0,14.0,0.9654857142857143,18,0.6285714285714286,0,0
2544,LeBron James,2018-19,2018-11-25,40,24,4,7,35.0,35.0,1.0,31.571428571428573,8.142857142857142,6.285714285714286,2.0,0.0,1.0,13.0,0.96,19,0.6,0,0
2544,LeBron James,2018-19,2018-11-27,30,14,7,2,34.42857142857143,34.75,0.9907502569373073,29.857142857142858,8.142857142857142,6.0,2.0,0.0,1.0,13.0,0.9553751284686536,20,0.4666666666666667,1,0
2544,LeBron James,2018-19,2018-11-29,38,38,9,7,34.714285714285715,34.904761904761905,0.9945429740791268,29.0,8.0,5.714285714285714,2.0,0.0,1.0,13.0,0.9572714870395633,21,1.0,0,0
2544,LeBron James,2018-19,2018-11-30,31,28,5,4,35.42857142857143,34.72727272727273,1.0201944652206434,29.857142857142858,8.142857142857142,5.285714285714286,1.0,1.0,1.0,14.0,0.9900972326103217,22,0.9032258064516129,0,0
2544,LeBron James,2018-19,2018-12-02,31,22,6,8,34.42857142857143,34.56521739130435,0.9960467205750224,25.714285714285715,7.857142857142857,6.0,2.0,0.0,1.0,14.0,0.9780233602875112,23,0.7096774193548387,0,0
2544,LeBron James,2018-19,2018-12-05,40,42,5,6,35.0,34.791666666666664,1.005988023952096,27.142857142857142,6.571428571428571,5.857142857142857,3.0,0.0,0.0,13.0,0.762994011976048,24,1.05,0,0
2544,LeBron James,2018-19,2018-12-07,37,35,8,11,35.285714285714285,34.88,1.0116317169069462,29.0,6.285714285714286,6.428571428571429,2.0,0.0,1.0,14.0,0.9858158584534731,25,0.9459459459459459,1,0
2544,LeBron James,2018-19,2018-12-08,32,20,8,9,34.142857142857146,34.76923076923077,0.9819848293299622,28.428571428571427,6.857142857142857,6.714285714285714,1.0,1.0,1.0,14.0,0.9709924146649811,26,0.625,1,0
2544,LeBron James,2018-19,2018-12-10,38,28,9,12,35.285714285714285,34.888888888888886,1.0113739763421292,30.428571428571427,7.142857142857143,8.142857142857142,2.0,0.0,1.0,15.0,1.0056869881710646,27,0.7368421052631579,0,0
2544,LeBron James,2018-19,2018-12-13,36,29,5,4,35.0,34.92857142857143,1.002044989775051,29.142857142857142,6.571428571428571,7.714285714285714,3.0,0.0,0.0,14.0,0.7810224948875255,28,0.8055555555555556,1,0
2544,LeBron James,2018-19,2018-12-15,30,24,12,11,34.857142857142854,34.67857142857143,1.0051493305870236,28.571428571428573,7.571428571428571,8.714285714285714,2.0,0.0,1.0,14.0,0.9825746652935117,29,0.8,1,0
2544,LeBron James,2018-19,2018-12-16,32,13,6,3,35.0,34.42857142857143,1.016597510373444,27.285714285714285,7.571428571428571,8.0,1.0,1.0,1.0,15.0,1.008298755186722,30,0.40625,1,0
2544,LeBron James,2018-19,2018-12-18,41,36,13,8,35.142857142857146,34.357142857142854,1.0228690228690231,26.428571428571427,8.714285714285714,8.285714285714286,2.0,0.0,1.0,15.0,1.0114345114345116,31,0.8780487804878049,1,0
2544,LeBron James,2018-19,2018-12-21,39,22,12,14,35.42857142857143,34.75,1.0195272353545735,24.571428571428573,9.285714285714286,8.714285714285714,3.0,0.0,0.0,15.0,0.8097636176772867,32,0.5641025641025641,0,0
2544,LeBron James,2018-19,2018-12-23,36,22,14,7,36.0,34.785714285714285,1.0349075975359343,24.857142857142858,10.142857142857142,8.428571428571429,2.0,0.0,1.0,15.0,1.017453798767967,33,0.6111111111111112,0,0
2544,LeBron James,2018-19,2018-12-25,21,17,13,5,33.57142857142857,34.32142857142857,0.9781477627471384,23.285714285714285,10.714285714285714,7.428571428571429,2.0,0.0,1.0,15.0,0.9890738813735691,34,0.8095238095238095,1,1
2544,LeBron James,2018-19,2019-01-31,40,24,14,9,34.142857142857146,34.464285714285715,0.9906735751295337,22.571428571428573,12.0,8.142857142857142,37.0,0.0,0.0,0.0,0.49533678756476685,35,0.6,1,0
2544,LeBron James,2018-19,2019-02-05,30,18,7,9,34.142857142857146,34.142857142857146,1.0,21.714285714285715,11.285714285714286,7.857142857142857,5.0,0.0,0.0,1.0,0.52,36,0.6,1,0
2544,LeBron James,2018-19,2019-02-07,38,28,12,12,35.0,34.392857142857146,1.0176531671858773,23.857142857142858,12.142857142857142,9.142857142857142,2.0,0.0,1.0,2.0,0.7488265835929386,37,0.7368421052631579,1,0
2544,LeBron James,2018-19,2019-02-10,33,18,10,9,33.857142857142854,34.57142857142857,0.9793388429752066,21.285714285714285,11.714285714285714,9.285714285714286,3.0,0.0,0.0,3.0,0.5496694214876032,38,0.5454545454545454,1,0
